"('date', '')","('close', 'barc.l')","('high', 'barc.l')","('low', 'barc.l')","('open', 'barc.l')","('volume', 'barc.l')"
2024-04-18,183.9231719970703,183.9231719970703,181.08405281533896,181.24400705900513,72982970
2024-04-19,185.7825927734375,185.8425717995636,181.44393700412425,182.22369485191507,59013824
2024-04-22,189.12155151367188,189.98128645409517,186.78227804347662,188.10187759327417,42043695
2024-04-23,192.1806182861328,193.52020066939554,190.42115222661133,191.18092720834116,81046062
2024-04-24,191.08094787597656,193.40023844836597,190.18123202700738,192.50050734532184,159914286
2024-04-25,203.93698120117188,206.63614407801936,193.94007035797716,195.8994715950365,174179117
2024-04-26,204.28688049316406,204.93667360051109,199.0185041738537,201.9376003283085,107959690
2024-04-29,203.5870819091797,207.43589866065815,202.6373784360062,203.93697988806875,41778612
2024-04-30,202.6373748779297,205.98634603166278,201.73765902526335,202.58738727409823,46614733
2024-05-01,203.38714599609375,202.98727566804203,202.98727566804203,200.6879831465566,67105158
2024-05-02,200.9379119873047,204.7867288409306,204.7867288409306,204.7867288409306,22410988
2024-05-03,202.28749084472656,203.33715424799124,199.47834617003306,202.43743840117153,47827113
2024-05-07,210.2850341796875,210.60292912351213,204.0369646503894,204.18691221746215,95337526
2024-05-08,211.58460998535156,213.1341342028797,209.53525548424932,210.8348416788775,54664931
2024-05-09,213.1841278076172,214.9335872386293,211.83453871634902,214.9335872386293,32434866
2024-05-10,213.8839111328125,215.08353742072296,211.88452890160306,213.23411800929978,44867099
2024-05-13,214.48373413085938,216.13321838710394,212.5843118390426,213.8839133536381,34622487
2024-05-14,217.13290405273438,217.95764616011644,212.58430649307417,214.03387079256004,36942402
2024-05-15,213.0341796875,218.78240351724543,212.08446093845546,217.48280203535742,39563337
2024-05-16,214.8336181640625,215.48342655230482,211.73458480732413,213.2341215053164,45743448
2024-05-17,216.68304443359375,217.83268308905065,214.033869138458,214.48372707954655,38843437
2024-05-20,216.68304443359375,218.48249145202348,216.2331864925052,217.2828651910955,24874213
2024-05-21,217.48280334472656,218.0326365043059,213.48403891735057,215.2834859604849,34485145
2024-05-22,211.38467407226562,218.83236950604245,211.38467407226562,217.03293778013946,76075814
2024-05-23,214.93359375,215.9582710604335,209.8351628663928,211.23473960604778,59978110
2024-05-24,216.08322143554688,216.6330545818764,210.63490808535516,212.48434269007936,42916160
2024-05-28,219.03233337402344,220.13198446803887,214.7836460581509,216.58307789455367,97926592
2024-05-29,214.08384704589844,220.38190414681603,213.53402913367404,218.18258673569068,81883936
2024-05-30,218.48248291015625,219.78208433121668,211.18473516488604,212.48433658594647,47795152
2024-05-31,219.93203735351562,221.03170364191334,217.13289928183764,219.13228143959688,82218581
2024-06-03,219.13229370117188,224.23072459037138,218.9323585250236,221.98141953703208,47887792
2024-06-04,214.93359375,219.28225628331649,214.93359375,218.58246028645092,96266689
2024-06-05,212.5843048095703,216.58306918128346,211.75756442482717,216.2331864512039,54732210
2024-06-06,216.08322143554688,216.18319664545237,211.2847164415902,212.684277855815,78914345
2024-06-07,217.18287658691406,218.18256761838433,213.23410006342147,215.98325039996467,96238708
2024-06-10,214.6836700439453,218.53248699386066,212.4343650027398,214.63368243665886,41892783
2024-06-11,208.9854278564453,216.53309872492372,208.73550508102602,215.3834448055495,62590795
2024-06-12,208.63552856445312,212.5843053405681,206.18628843147616,210.43497558703385,130991228
2024-06-13,205.0866241455078,208.3356202376511,204.58677859287036,208.0357251093292,91990995
2024-06-14,201.93759155273438,206.11229624085146,197.6029326360728,205.68643298007473,77082657
2024-06-17,204.83670043945312,205.63645637085813,201.98758995479704,203.68706177523543,79510265
2024-06-18,205.93637084960938,207.83577787717442,205.0866272954442,207.1359971435492,58351028
2024-06-19,206.6361541748047,208.23566608950233,205.63646304163768,206.23628382316832,34889006
2024-06-20,207.98573303222656,208.90044366209642,205.33654250775183,206.38622119654087,78618616
2024-06-21,204.78672790527344,210.784874504355,202.83731805731142,207.98573637396848,85228878
2024-06-24,207.48590087890625,209.235360388418,203.78704668103958,204.88669779171545,50595956
2024-06-25,206.08631896972656,208.7355095989565,205.686448622031,207.33593287387012,62344856
2024-06-26,205.78640747070312,207.85775828307308,204.58676601486675,207.0360212754704,86932141
2024-06-27,209.68521118164062,211.48465823782863,204.53680804567645,206.18629228230455,55243693
2024-06-28,208.83546447753906,211.884525380276,208.72549784648706,210.0850783512775,40264979
2024-07-01,213.13414001464844,214.3887572296635,207.53587899276647,211.93451374239342,39103981
2024-07-02,210.6848907470703,214.4337322194381,210.08507000986145,211.93450457119292,42471582
2024-07-03,218.08261108398438,218.08261108398438,212.78426036685198,213.2341183187117,47996480
2024-07-04,224.28070068359375,224.53062345446733,216.73302995239612,218.9323472852687,70585662
2024-07-05,220.48187255859375,226.13012110542854,219.28224630354018,223.8808161569248,62764166
2024-07-08,221.9813995361328,225.6802533508692,218.18257051529216,219.4821719242738,42154602
2024-07-09,216.68304443359375,223.3809717066775,215.33345535625259,221.73148750466098,42282199
2024-07-10,219.48219299316406,219.58215295478905,215.33346560678186,217.08292510302013,37845061
2024-07-11,222.53125,222.53125,217.93266473425237,219.98203458646762,39455797
2024-07-12,222.38128662109375,225.28040002190315,221.18166032775838,224.1307460813133,32863299
2024-07-15,225.6802520751953,225.6802520751953,217.63273615968347,218.93233756131903,50879577
2024-07-16,227.27978515625,227.62966790030364,222.48126466773004,224.48064693344034,39118646
2024-07-17,230.6287384033203,232.97602035371798,227.22979469591706,227.42972986916268,58691836
2024-07-18,228.52938842773438,234.22762456877751,228.32943800721586,232.52815277289804,30816784
2024-07-19,228.57936096191406,232.02830741564117,224.18072628034022,225.2803925777714,26127466
2024-07-22,230.77870178222656,231.47848251731745,227.92957598083572,229.5790602316982,26026695
2024-07-23,230.42880249023438,231.9283391658758,229.42911137314007,231.42849360732865,25145346
2024-07-24,228.32943725585938,230.55975086878507,227.52969659271866,229.07920556811032,41895286
2024-07-25,227.82958984375,228.02954026196883,222.28131658190767,222.63119930564017,122205338
2024-07-26,231.32850646972656,232.10826428053997,229.3291243385999,230.92863614513126,34080525
2024-07-29,232.6781005859375,236.826812496903,231.47847433190563,232.27823025261867,37775372
2024-07-30,233.97769165039062,234.77744753555575,232.02829716747698,232.37817988006034,27716677
2024-07-31,233.72776794433594,236.27698314433172,231.3784879013041,234.92739414019434,67449383
2024-08-01,222.83114624023438,241.72531770430516,222.1813531089253,236.9267972410137,70189217
2024-08-02,209.03541564941406,221.23164404997607,206.9360582323828,220.2819405533479,79681248
2024-08-05,206.13629150390625,207.62583666019637,196.37931234525644,200.98788869691924,132361965
2024-08-06,208.13568115234375,212.93720647107423,205.58646583102887,211.3846771833729,42550008
2024-08-07,214.6836700439453,217.28287308207985,211.07978779351072,212.33438978816693,34121303
2024-08-08,213.9338836669922,216.58305883507035,209.98510708937434,213.08414017696535,89969114
2024-08-09,218.18258666992188,218.5824570157965,214.231811517681,215.2834885271409,55429932
2024-08-12,220.03201293945312,222.08136745140203,218.63243627418217,219.7820901693057,25894995
2024-08-13,219.18226623535156,221.48155873812237,218.28255037752064,220.28193250965612,49951914
2024-08-14,221.53155517578125,222.93111662245335,220.08199086892176,222.13136068689397,23166080
2024-08-15,227.70945739746094,227.70945739746094,219.0110091671918,220.2607866501636,37720588
2024-08-16,228.2593536376953,229.20918143649033,225.25988779556022,225.85977181034391,24567341
2024-08-19,228.959228515625,230.45896145350028,226.4596736191662,227.2595342372475,19484792
2024-08-20,225.9597625732422,229.80908321508255,225.20989610452568,229.2591780868093,20957190
2024-08-21,224.80996704101562,227.05956638329636,224.03610279244526,226.35967882750703,48959784
2024-08-22,225.35986328125,227.05957281508861,223.46020766305344,224.70998511083337,34155635
2024-08-23,230.40896606445312,230.40896606445312,225.5598387450612,226.05974972166277,25996351
2024-08-27,230.1590118408203,230.40896733049453,226.3236962718418,229.4591395209469,34832552
2024-08-28,223.86013793945312,231.00887433695328,221.66053260794263,230.8588918844874,27776677
2024-08-29,226.00975036621094,228.2093555613712,222.96029042797713,222.96029042797713,23203038
2024-08-30,228.3593292236328,228.7092730115439,226.4096794557325,226.70962909450307,33995001
2024-09-02,227.10955810546875,229.75909552303904,226.48967335585186,228.80926768718558,17872003
2024-09-03,223.01028442382812,227.60246886489594,221.76050701196635,226.25970569466872,27378608
2024-09-04,223.66017150878906,224.41003798585658,219.06099960308518,219.26096094575533,29048790
2024-09-05,228.50930786132812,230.70891308218657,221.0606374457504,222.21042657645054,30394843
2024-09-06,220.81068420410156,227.6594554217349,220.31077322809597,227.1595444457293,25949375
2024-09-09,223.96011352539062,224.41003034509777,220.61070393943476,220.8106805313686,23793597
2024-09-10,216.6614227294922,224.859960017003,216.6614227294922,222.81033713717997,35297193
2024-09-11,215.1116943359375,220.42575063621624,213.86092520783163,218.61107128938525,66928057
2024-09-12,218.5610809326172,220.810680284712,216.86137143951018,218.9610036038941,84571938
2024-09-13,221.11062622070312,221.90348432373716,218.1611544116272,218.4611040588035,26828833
2024-09-16,220.9606475830078,222.06045781367783,219.26095334512215,220.31076942783955,23352431
2024-09-17,224.95994567871094,226.23372095706873,222.1104469310182,222.26042938178097,41836456
2024-09-18,223.460205078125,225.05891939444297,223.06028240189056,223.86012775435944,46038527
2024-09-19,227.60946655273438,227.60946655273438,224.65999477709744,226.9595883712809,47880775
2024-09-20,226.70962524414062,229.1091918014072,225.4098536689245,226.85959243294275,69402309
2024-09-23,223.16026306152344,227.45950063014288,221.8105125410981,227.25953928519905,28963678
2024-09-24,226.35968017578125,229.85905695128363,223.35022164103515,223.71015814818685,41617232
2024-09-25,223.16026306152344,228.309355416245,222.3554136899009,224.0101178476256,25163698
2024-09-26,227.00958251953125,228.30935413850094,225.45985540676247,225.45985540676247,38928906
2024-09-27,229.2091827392578,229.2091827392578,224.24107331282895,225.1599007781459,38836293
2024-09-30,224.51002502441406,228.65928007179036,223.46020891120062,226.25971346107895,30475294
2024-10-01,219.660888671875,226.95959226737065,218.361117030583,224.65999863371135,35105841
2024-10-02,220.16079711914062,222.56037902668456,217.96119181261318,219.81086857950712,44979363
2024-10-03,219.3109588623047,222.16044237046017,216.161510450883,219.41093190732064,40271438
2024-10-04,226.209716796875,228.25735630564267,218.96100763984808,218.96100763984808,39320183
2024-10-07,229.60910034179688,229.8090769328458,224.90994031751438,226.7596169922132,28441204
2024-10-08,228.40931701660156,230.1090112475727,227.3095220464776,228.3593228688523,22265092
2024-10-09,230.6089324951172,230.6089324951172,227.15954973162746,228.85924403838314,21968348
2024-10-10,231.1088409423828,233.75837830138536,230.55695252139188,230.55895106688322,45453313
2024-10-11,235.80801391601562,235.80801391601562,230.0590376814253,231.00886548636058,31789043
2024-10-14,232.85853576660156,235.8580017417286,231.95870207649259,235.6580403946014,57673311
2024-10-15,234.00833129882812,234.10830434054796,231.55877056364372,233.258464833604,38896576
2024-10-16,237.00779724121094,237.1577644318784,232.93451747467265,233.40843210446863,35189461
2024-10-17,245.05636596679688,245.98019742068982,237.65767438558797,237.9076298730057,52767389
2024-10-18,242.2068634033203,245.1063409081965,240.50716916749388,244.75641238509598,61009377
2024-10-21,239.7073211669922,243.20669811833514,239.7073211669922,241.8069534402271,25124465
2024-10-22,242.15687561035156,242.15687561035156,237.25775410980086,238.6075046018763,32138237
2024-10-23,238.1075897216797,244.1165293654856,237.80765534351312,242.75677091219933,30653807
2024-10-24,248.00584411621094,251.25526553713914,240.85710783652536,246.6560783466271,48850966
2024-10-25,241.3570098876953,250.35540733554583,241.3570098876953,248.75570138734898,99402220
2024-10-28,241.7569580078125,242.10688654744766,234.85817718667292,240.35719808105375,38999270
2024-10-29,238.7574920654297,243.98056111672219,237.45772043917964,242.65679168810712,83286742
2024-10-30,242.05690002441406,247.25597110948348,236.85781368327244,236.95780198062985,52249910
2024-10-31,237.4577178955078,242.3568394465019,236.15794628318105,239.10741804372125,54088115
2024-11-01,240.5571746826172,242.10688654799714,235.4080823278598,235.65803782305952,34968637
2024-11-04,243.45664978027344,245.65625506382938,239.15741225655307,239.30739470574912,133591019
2024-11-05,244.8563995361328,245.4562988332665,242.10688906040377,242.70678835753742,28591141
2024-11-06,258.1040344238281,258.50395710780435,250.8223415415333,250.905319319749,109014314
2024-11-07,253.8048095703125,259.65377411389613,253.65482712330615,259.2538209218792,37077657
2024-11-08,251.45523071289062,253.8547973886362,248.30579754396547,251.85515340682394,29463841
2024-11-11,260.60357666015625,261.9533423510349,253.7548056798123,254.25471663849748,47158973
2024-11-12,257.45416259765625,260.4536285696678,256.45434060698574,257.45416259765625,35440090
2024-11-13,258.8039245605469,263.1281362989671,256.25436021475014,256.80428060877466,37127842
2024-11-14,256.5543212890625,259.6237820321759,255.50450517882243,258.2040214222452,25442875
2024-11-15,259.3038330078125,259.3038330078125,249.40558638988023,253.90478523728422,39728022
2024-11-18,260.8035583496094,261.7033919904141,258.6039378835143,259.4038137403416,62281442
2024-11-19,255.80445861816406,261.403467785233,253.25490952858672,260.30365750939256,51889335
2024-11-20,258.9039001464844,260.75354630132625,256.80426799780184,256.80426799780184,31095842
2024-11-21,262.6032409667969,262.6032409667969,256.00440969529524,260.00369767655127,32355750
2024-11-22,257.1542053222656,264.7528273654762,250.30541919318756,262.35326090382324,75378934
2024-11-25,263.6030578613281,265.4527346192965,256.20438134159974,258.0040486934826,78251572
2024-11-26,260.903564453125,265.05281967213784,259.60377753912053,263.8530210610793,60513917
2024-11-27,258.9039001464844,260.5035908196294,256.25434763078243,258.40398918309063,38376963
2024-11-28,265.05279541015625,265.45271807318625,259.003854525308,259.353798297513,27795051
2024-11-29,263.7530212402344,265.4527307796513,261.89837102941476,263.85300953881386,33732740
2024-12-02,262.80322265625,265.20278938900873,260.5036137152403,262.45327884868914,37219828
2024-12-03,264.5528869628906,268.2772297289823,263.30310955897687,263.30310955897687,44720091
2024-12-04,262.0533447265625,266.1026115046413,261.9393513524166,264.3029441615274,29800816
2024-12-05,267.5023498535156,267.6023381506963,263.50306206344464,263.50306206344464,26092339
2024-12-06,264.7528381347656,269.55200176542905,264.2029482713197,267.8023133662812,34652434
2024-12-09,267.5023498535156,269.0520921794548,265.452727065962,266.3525607162991,21226133
2024-12-10,264.1529846191406,268.20225151450114,263.5030759093887,265.65271761922173,23272737
2024-12-11,266.6025085449219,268.95209615652465,261.60339895093443,262.10330991033317,66367713
2024-12-12,270.6518249511719,273.1813733658843,267.50236127233495,268.9021364683272,30383450
2024-12-13,269.3520202636719,271.95156336889147,268.2522100446778,269.6019757447095,17943580
2024-12-16,270.2518615722656,273.2013485371771,268.70214975065454,269.5019951078452,31793460
2024-12-17,264.5028991699219,271.00174220124325,264.05299757504116,269.4020514032503,61963968
2024-12-18,267.00244140625,268.13026181017443,263.6910498802184,264.05298494045024,25399661
2024-12-19,260.20367431640625,260.8035736161067,257.1042200280756,257.5541521308874,51575171
2024-12-20,260.20367431640625,261.2034963118584,254.65465919043257,256.7542762272382,68228161
2024-12-23,261.5534362792969,262.0033378633689,259.25382741617324,261.1535135894066,13605305
2024-12-24,263.5030517578125,264.13395134278227,262.22630163770447,262.9031830224783,8298189
2024-12-27,264.85284423828125,265.85266624787243,263.49310095106745,264.3029543378646,15970484
2024-12-30,264.7028503417969,265.7026722505478,261.3534408450528,262.5532393404111,14724719
2024-12-31,268.1022644042969,268.1022644042969,263.1531637893086,264.20296468917536,9253099
2025-01-02,266.85247802734375,268.102255491421,260.5436038296534,266.1026115488974,16234904
2025-01-03,266.402587890625,268.4522108148932,265.55773706813324,266.25259017877664,22674822
2025-01-06,272.75140380859375,272.9014015042394,267.30239272704785,268.8521044768125,33697063
2025-01-07,265.6527099609375,272.4514871604503,263.9530004049867,271.75159957573055,36053588
2025-01-08,264.95281982421875,272.6014517280361,260.1036772080258,267.8023185172101,42976306
2025-01-09,265.80267333984375,266.0526288290646,261.0035096395173,262.4532636818559,77895220
2025-01-10,258.0040588378906,266.3525787678997,256.55433522302394,264.5029019372042,58858463
2025-01-13,260.6535949707031,261.6034075173771,255.0545859396638,257.8040963063921,44675614
2025-01-14,263.7530212402344,264.05298613597284,258.403998155897,262.10332110617964,29124701
2025-01-15,280.8999938964844,282.3997268473206,267.3843951734107,267.6523528307643,65565586
2025-01-16,282.6496887207031,285.5491663886877,281.199934630638,284.94926709237984,37501667
2025-01-17,289.2984924316406,291.69805905148604,284.7492841717083,285.99906163122625,51385499
2025-01-20,291.79803466796875,293.54772303524544,289.9483580058476,292.2979456300478,28352078
2025-01-21,295.8973083496094,298.0918942667758,292.4978894242935,293.9476434078631,39436643
2025-01-22,293.69769287109375,299.24669239537513,292.79785923366217,297.94693608710105,119155572
2025-01-23,298.5968322753906,299.04676437735264,292.34794481561704,292.34794481561704,37652718
2025-01-24,292.997802734375,297.54701079758513,292.34792458595746,296.9471115405291,22990549
2025-01-27,288.3486328125,292.0219897392123,287.4987780863623,287.54878748916053,33626143
2025-01-28,289.2984924316406,289.9623756827195,285.04924906927965,285.9490827377035,39485551
2025-01-29,296.2472229003906,298.3968644396238,289.59841323012307,290.14833359379764,44836689
2025-01-30,295.747314453125,297.59699112457764,294.2975909630682,295.6473566699199,32430324
2025-01-31,296.9471130371094,298.69680141359066,294.5975254005486,294.5975254005486,29162819
2025-02-03,290.4982604980469,291.8390251740359,286.1040539345641,288.0487149845728,109731938
2025-02-04,294.1976013183594,294.1976013183594,289.0985034003873,292.24793636050003,38513525
2025-02-05,295.2474060058594,295.2474060058594,291.29812765912504,292.54790508128355,28853413
2025-02-06,307.44525146484375,307.9451624428354,296.4472099490282,298.24687726494017,74428801
2025-02-07,304.645751953125,307.2952739449953,302.84605418556026,305.9455082473576,31910538
2025-02-10,302.69610595703125,308.88500648511774,302.69610595703125,304.59576162609136,25448783
2025-02-11,306.39544677734375,308.36009323478004,301.74625033055196,302.44613789582974,27287744
2025-02-12,307.6952209472656,312.34438715159445,306.14550904987135,307.74519984247985,38726785
2025-02-13,293.1977844238281,301.4962943356551,287.7987520407031,295.5473720894147,95487410
2025-02-14,294.54754638671875,295.74731439423607,291.398113412788,292.8478369025561,80572764
2025-02-17,304.3457946777344,306.0455041931252,298.44685129066596,298.5468395878321,48798577
2025-02-18,308.1451416015625,310.3947410212334,304.89572021759335,305.49558898645637,31610524
2025-02-19,305.8955383300781,312.54434820651085,305.3456179493517,309.0949502682587,38353533
2025-02-20,298.34686279296875,309.34490420667305,297.79697292714127,305.8455273932217,44965737
2025-02-21,303.74591064453125,305.99551013897207,299.4966671550319,299.8966203637603,41171276
2025-02-24,298.6968078613281,303.9458731040795,295.5473748181062,301.79626201185783,39817525
2025-02-25,296.7971496582031,305.2956361672955,296.7971496582031,297.8469504927039,58511638
2025-02-26,308.89501953125,309.8948415326301,301.396354520899,304.5957666180278,69455584
2025-02-27,301.04998779296875,303.4849853515625,296.1000061035156,301.70001220703125,136383465
2025-02-28,311.29998779296875,311.3089904785156,297.29998779296875,299.1000061035156,104348091
2025-03-03,311.1000061035156,316.0,305.6499938964844,310.5,47887027
2025-03-04,292.3999938964844,309.0060119628906,290.8999938964844,307.0,71125845
2025-03-05,303.45001220703125,312.5,301.3330078125,307.0,109193473
2025-03-06,308.3999938964844,311.0,304.0,308.0,69237234
2025-03-07,298.75,306.75,298.5,302.3500061035156,39777130
2025-03-10,284.54998779296875,300.6499938964844,280.1499938964844,299.70001220703125,96013777
2025-03-11,283.54998779296875,284.93499755859375,277.54998779296875,283.45001220703125,64205536
2025-03-12,292.1000061035156,294.25,286.25,287.20001220703125,53815331
2025-03-13,288.8500061035156,295.8999938964844,286.75,292.04998779296875,35149260
2025-03-14,294.75,295.3500061035156,285.45001220703125,287.29998779296875,40187488
2025-03-17,294.8500061035156,297.25,291.6499938964844,296.29998779296875,47951738
2025-03-18,303.6499938964844,304.70001220703125,295.135009765625,296.8500061035156,54934802
2025-03-19,304.8999938964844,306.04998779296875,299.6499938964844,301.6499938964844,40816410
2025-03-20,302.04998779296875,308.4750061035156,298.6499938964844,306.45001220703125,35080182
2025-03-21,297.45001220703125,301.8500061035156,293.1000061035156,299.54998779296875,72074784
2025-03-24,303.6000061035156,305.79998779296875,299.29998779296875,300.1000061035156,34814034
2025-03-25,308.0,308.8999938964844,303.04998779296875,303.20001220703125,73406373
2025-03-26,309.25,311.6000061035156,304.3999938964844,308.8999938964844,33447570
2025-03-27,303.5,305.79998779296875,298.8500061035156,303.0,49575169
2025-03-28,293.5,302.04998779296875,293.20001220703125,298.0,52813410
2025-03-31,287.79998779296875,290.79998779296875,284.6499938964844,289.1499938964844,79020262
2025-04-01,293.8999938964844,296.0,291.6000061035156,291.95001220703125,42981084
2025-04-02,296.75,296.75,289.25,292.3999938964844,33005123
2025-04-03,270.8999938964844,286.6000061035156,268.45001220703125,285.0,83298971
2025-04-04,250.0500030517578,265.29998779296875,240.14999389648438,264.3500061035156,148960169
2025-04-07,241.85000610351562,255.76800537109375,223.75,223.75,127396742
2025-04-08,254.0500030517578,259.95001220703125,243.13999938964844,245.5,91562896
2025-04-09,241.64999389648438,249.0500030517578,238.5500030517578,241.39999389648438,67187218
2025-04-10,260.25,310.0,260.25,309.0,103159497
2025-04-11,257.95001220703125,264.29998779296875,251.0500030517578,262.6499938964844,74749197
2025-04-14,270.3999938964844,272.8500061035156,262.04998779296875,263.54998779296875,30875395
2025-04-15,279.20001220703125,279.6000061035156,269.1000061035156,270.04998779296875,42882246
2025-04-16,278.0,278.77099609375,273.5,275.0,82382137
2025-04-17,277.29998779296875,279.70001220703125,274.1499938964844,278.0,27299550
